prot_name,All ZFs,Only binding ZFs,DeepZF,Random ZFs
A0PJY2,0.223140131,0.277862163,0.140878639,0.015683585
A2RRD8,0.356622328,0.513005381,0.355844147,-0.024042177
A6NGD5,0.106553359,0.068992366,0.086118737,0.073929076
A6NHJ4,0.320010788,0.666625428,0.389251505,0.166266049
A6NK75,0.268270204,0.499789385,0.200667489,0.268478795
A6NP11,-0.036776918,-0.005163672,-0.028243588,0.019815439
A8MT65,0.39719045,0.417363654,0.404977633,0.13986105
B2RXF5,0.515456219,0.809343572,0.503785153,0.309579476
O14771,0.714432794,0.653320726,0.681854355,0.096638616
O14978,0.251786747,0.761395324,0.208812689,0.279526884
O43829,0.730839649,0.882333233,0.709348833,0.498288063
O60765,0.225487137,0.672772085,0.240252347,0.099681834
O75290,0.15679394,0.667392905,0.159457652,0.099031809
O75467,0.305614711,0.746588362,0.476048359,0.154068217
O75820,0.269158328,0.753588185,0.263596904,0.257594153
P10072,0.253384115,0.82514672,0.261871992,0.117795007
P10073,0.479494677,0.798911105,0.550839582,0.475080495
P11161,0.913383074,0.953629634,0.928418968,0.331242224
P13682,0.571212795,0.75716779,0.632333824,0.204532503
P15622,0.061792646,0.855733452,0.130199699,0.018125478
P17014,0.138969652,0.843823417,0.161678488,0.015150094
P17019,0.103833978,0.861540785,0.09321291,0.073001493
P17020,0.250333161,0.750282306,0.218044,0.055976852
P17021,0.136863034,0.831389124,0.359162817,0.123499104
P17023,0.337684505,0.831925088,0.459037136,0.173503914
P17025,0.274478265,0.85127351,0.362826949,0.23311613
P17026,0.879454691,0.937003671,0.711314737,0.513423645
P17032,0.199678911,0.895695974,0.191073904,0.214011117
P17035,0.253848864,0.75970304,0.234429748,0.13826757
P17098,0.494986652,0.865775928,0.894108477,0.099276148
P21506,0.20618808,0.90204789,0.229071794,0.078117927
P25490,0.901694868,0.872883275,0.873692168,0.292991972
P35789,0.340448922,0.815356926,0.378758546,0.432421079
P36508,0.912906932,0.881028327,0.878926722,0.183548994
